(wt) :~/wt/code$ python trainAndEvaluate.py
208
Current device: cuda
GPU memory: 45459.50 MB
Total data: 208 samples
Train set: 166 samples
Test set: 42 samples

Total data: 208 samples
Train set: 166 samples
Test set: 42 samples

Loading model...
Loading weights: 100%|█████████████████████████████████████████| 391/391 [00:00<00:00, 5872.06it/s]
                                                                                                   
==================================================
Starting training...
==================================================

{'loss': '0.2203', 'grad_norm': '6.188', 'learning_rate': '0', 'epoch': '0.04762'}                 
{'loss': '0.07369', 'grad_norm': '2.453', 'learning_rate': '1e-06', 'epoch': '0.09524'}            
{'loss': '0.2956', 'grad_norm': '7.312', 'learning_rate': '2e-06', 'epoch': '0.1429'}              
{'loss': '0.4032', 'grad_norm': '8.25', 'learning_rate': '3e-06', 'epoch': '0.1905'}               
{'loss': '0.2365', 'grad_norm': '8.312', 'learning_rate': '4e-06', 'epoch': '0.2381'}              
{'loss': '0.2611', 'grad_norm': '6.906', 'learning_rate': '5e-06', 'epoch': '0.2857'}              
{'loss': '0.08493', 'grad_norm': '3.047', 'learning_rate': '6e-06', 'epoch': '0.3333'}             
{'loss': '0.2594', 'grad_norm': '6.781', 'learning_rate': '7e-06', 'epoch': '0.381'}               
{'loss': '0.09825', 'grad_norm': '3.703', 'learning_rate': '8e-06', 'epoch': '0.4286'}             
{'loss': '0.1143', 'grad_norm': '3.406', 'learning_rate': '9e-06', 'epoch': '0.4762'}              
{'loss': '0.2981', 'grad_norm': '7.938', 'learning_rate': '1e-05', 'epoch': '0.5238'}              
{'loss': '0.09736', 'grad_norm': '3.844', 'learning_rate': '1.1e-05', 'epoch': '0.5714'}           
{'loss': '0.1214', 'grad_norm': '4.781', 'learning_rate': '1.2e-05', 'epoch': '0.619'}             
{'loss': '0.1248', 'grad_norm': '4.062', 'learning_rate': '1.3e-05', 'epoch': '0.6667'}            
{'loss': '0.164', 'grad_norm': '4.719', 'learning_rate': '1.4e-05', 'epoch': '0.7143'}             
{'loss': '0.1249', 'grad_norm': '3', 'learning_rate': '1.5e-05', 'epoch': '0.7619'}                
{'loss': '0.148', 'grad_norm': '4.844', 'learning_rate': '1.6e-05', 'epoch': '0.8095'}             
{'loss': '0.2121', 'grad_norm': '5.5', 'learning_rate': '1.7e-05', 'epoch': '0.8571'}              
{'loss': '0.2815', 'grad_norm': '7', 'learning_rate': '1.8e-05', 'epoch': '0.9048'}                
{'loss': '0.4022', 'grad_norm': '8.5', 'learning_rate': '1.9e-05', 'epoch': '0.9524'}              
{'loss': '0.09558', 'grad_norm': '2.969', 'learning_rate': '2e-05', 'epoch': '1'}                  
{'eval_loss': '0.3547', 'eval_runtime': '0.207', 'eval_samples_per_second': '202.9', 'eval_steps_per_second': '28.98', 'epoch': '1'}                                                                  
Writing model shards: 100%|██████████████████████████████████████████| 1/1 [00:01<00:00,  1.62s/it]
{'loss': '0.1362', 'grad_norm': '5.875', 'learning_rate': '1.989e-05', 'epoch': '1.048'}           
{'loss': '0.2482', 'grad_norm': '6.406', 'learning_rate': '1.979e-05', 'epoch': '1.095'}           
{'loss': '0.4297', 'grad_norm': '9.625', 'learning_rate': '1.968e-05', 'epoch': '1.143'}           
{'loss': '0.266', 'grad_norm': '7.5', 'learning_rate': '1.958e-05', 'epoch': '1.19'}               
{'loss': '0.2745', 'grad_norm': '6.906', 'learning_rate': '1.947e-05', 'epoch': '1.238'}           
{'loss': '0.07505', 'grad_norm': '2.516', 'learning_rate': '1.937e-05', 'epoch': '1.286'}          
{'loss': '0.2797', 'grad_norm': '7.188', 'learning_rate': '1.926e-05', 'epoch': '1.333'}           
{'loss': '0.4072', 'grad_norm': '8.688', 'learning_rate': '1.916e-05', 'epoch': '1.381'}           
{'loss': '0.1156', 'grad_norm': '4', 'learning_rate': '1.905e-05', 'epoch': '1.429'}               
