Step,Train_Loss,Val_Loss,Perplexity,Token_Accuracy
1,2.842065,,,
10,2.691383,,,
20,2.743027,,,
30,2.585188,,,
40,2.517275,,,
50,2.592509,2.487935,12.0364,0.5308
60,2.530390,,,
70,2.586665,,,
80,2.384621,,,
90,2.203112,,,
100,2.217097,2.202377,9.0465,0.5694
110,2.154467,,,
120,2.182475,,,
130,2.062578,,,
140,2.034757,,,
150,2.104181,1.933333,6.9125,0.6088
160,1.856510,,,
170,1.784865,,,
180,1.887300,,,
190,1.395404,,,
200,1.297147,1.697504,5.4603,0.6512
210,1.278220,,,
220,1.302833,,,
230,1.137246,,,
240,1.207545,,,
250,1.177611,1.519673,4.5707,0.6841
260,1.137686,,,
270,1.171953,,,
280,0.962471,,,
290,1.201718,,,
300,0.996769,1.288896,3.6288,0.7271
310,1.047049,,,
320,0.983170,,,
330,0.977467,,,
340,0.927067,,,
350,0.761466,1.062657,2.8941,0.7682
360,0.771241,,,
370,0.478165,,,
380,0.417964,,,
390,0.389612,,,
400,0.387090,0.927378,2.5279,0.8017
410,0.353572,,,
420,0.360189,,,
430,0.365583,,,
440,0.403812,,,
450,0.326988,0.835079,2.3050,0.8229
460,0.359042,,,
470,0.375578,,,
480,0.380488,,,
490,0.348796,,,
500,0.314774,0.715851,2.0459,0.8478
510,0.314416,,,
520,0.283772,,,
530,0.263544,,,
540,0.304349,,,
550,0.123615,0.644543,1.9051,0.8687
560,0.120240,,,
570,0.113803,,,
580,0.127572,,,
590,0.097964,,,
600,0.089590,0.574479,1.7762,0.8844
610,0.087883,,,
620,0.090295,,,
630,0.093593,,,
640,0.080283,,,
650,0.087876,0.526718,1.6934,0.8972
660,0.078297,,,
670,0.073841,,,
680,0.078930,,,
690,0.077709,,,
700,0.069625,0.493763,1.6385,0.9063
710,0.078657,,,
720,0.077859,,,
730,0.028942,,,
740,0.023500,,,
750,0.025780,0.494456,1.6396,0.9094
760,0.025824,,,
770,0.027551,,,
780,0.024985,,,
790,0.022599,,,
800,0.024644,0.485393,1.6248,0.9125
810,0.023787,,,
820,0.023148,,,
830,0.024656,,,
840,0.023509,,,
850,0.025886,0.481315,1.6182,0.9143
860,0.022393,,,
870,0.024491,,,
880,0.026732,,,
890,0.023238,,,
900,0.022699,0.476683,1.6107,0.9161
910,0.014095,,,
920,0.013870,,,
930,0.015154,,,
940,0.014513,,,
950,0.014326,0.487021,1.6275,0.9156
960,0.014351,,,
970,0.014036,,,
980,0.013578,,,
990,0.014517,,,
1000,0.013181,0.488764,1.6303,0.9160
1010,0.014759,,,
1020,0.014404,,,
1030,0.014499,,,
1040,0.013624,,,
1050,0.013805,0.489371,1.6313,0.9162
1060,0.014781,,,
1070,0.013490,,,
1080,0.014253,,,
1090,0.011813,,,
1100,0.012137,0.491081,1.6341,0.9164
1110,0.013221,,,
1120,0.012415,,,
1130,0.011007,,,
1140,0.011618,,,
1150,0.011826,0.493584,1.6382,0.9165
1160,0.011730,,,
1170,0.011718,,,
1180,0.011450,,,
1190,0.011150,,,
1200,0.011940,0.494044,1.6389,0.9164
1210,0.012133,,,
1220,0.012418,,,
1230,0.012596,,,
1240,0.011864,,,
1250,0.012653,0.493862,1.6386,0.9163
1260,0.011875,,,
1270,0.011240,,,
1280,0.010067,,,
1290,0.011589,,,
1300,0.010801,0.495300,1.6410,0.9163
1310,0.010610,,,
1320,0.010781,,,
1330,0.010019,,,
1340,0.011492,,,
1350,0.011198,0.496178,1.6424,0.9164
1360,0.011578,,,
1370,0.010816,,,
1380,0.011463,,,
1390,0.011504,,,
1400,0.010512,0.496712,1.6433,0.9162
1410,0.011106,,,
1420,0.010609,,,
1430,0.010555,,,
1440,0.010312,,,
1450,0.010309,0.496975,1.6437,0.9165
1460,0.010576,,,
1470,0.010144,,,
1480,0.010592,,,
1490,0.010276,,,
1500,0.010932,0.497341,1.6443,0.9163
1510,0.010489,,,
1520,0.010607,,,
1530,0.010360,,,
1540,0.010608,,,
1550,0.010176,0.497460,1.6445,0.9163
1560,0.010057,,,
1570,0.010709,,,
1580,0.009735,,,
1590,0.010824,,,
1600,0.010443,0.497911,1.6453,0.9162
1610,0.009687,,,
1620,0.010170,,,
1630,0.010579,,,
1640,0.011296,,,
1650,0.010106,0.497834,1.6452,0.9164
1660,0.009964,,,
1670,0.010182,,,
1680,0.009707,,,
1690,0.010684,,,
1700,0.010003,0.497789,1.6451,0.9165
1710,0.010243,,,
1720,0.010143,,,
1730,0.010744,,,
1740,0.010585,,,
1750,0.010356,0.497818,1.6451,0.9164
1760,0.010097,,,
1770,0.009980,,,
1780,0.009987,,,
1790,0.008904,,,
1800,0.009312,0.497859,1.6452,0.9164
